order_id,customer_name,category,sub_category,city,order_date,region,sales,discount,profit,state,Year,Month,Date,Discount_Amt,dispatch_date,Profit Margin,store_id,store_name,product_id,dispatch_to_sale_days
OD13,Sharon,Snacks,Cookies,Dindigul,15-04-2018,South,1659,0.19,315.21,Tamil Nadu,2018,April,15,389,11-04-2018,19,1005,Store_1005,SnCo12,4
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,05-12-2017,West,1277,0.25,63.85,Tamil Nadu,2017,December,5,426,01-12-2017,5,1006,Store_1006,FrFr13,4
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,22-11-2016,Central,831,0.22,207.75,Tamil Nadu,2016,November,22,234,18-11-2016,25,1006,Store_1006,EgCh14,4
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,22-11-2016,Central,1440,0.11,100.8,Tamil Nadu,2016,November,22,178,17-11-2016,7,1008,Store_1008,OiEd15,5
OD17,Alan,Bakery,Cakes,Dharmapuri,11-11-2015,Central,1678,0.28,318.82,Tamil Nadu,2015,November,11,653,10-11-2015,19,1004,Store_1004,BaCa16,1
OD18,Arutra,Beverages,Health Drinks,Bodi,13-05-2015,West,1617,0.19,113.19,Tamil Nadu,2015,May,13,379,10-05-2015,7,1000,Store_1000,BeHe17,3
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,27-08-2015,West,1757,0.35,386.54,Tamil Nadu,2015,August,27,946,26-08-2015,22,1017,Store_1017,EgMu18,1
OD20,Verma,Beverages,Soft Drinks,Kanyakumari,27-08-2015,West,692,0.29,159.16,Tamil Nadu,2015,August,27,283,26-08-2015,23,1006,Store_1006,BeSo19,1
OD21,Hafiz,Beverages,Health Drinks,Vellore,27-08-2015,West,522,0.19,208.8,Tamil Nadu,2015,August,27,122,26-08-2015,40,1021,Store_1021,BeHe20,1
OD22,Alan,Food Grains,Dals & Pulses,Karur,09-12-2017,Central,948,0.13,47.4,Tamil Nadu,2017,December,9,142,05-12-2017,5,1007,Store_1007,FoDa21,4
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,09-12-2017,Central,707,0.34,148.47,Tamil Nadu,2017,December,9,364,06-12-2017,21,1008,Store_1008,BeSo22,3
OD24,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,16-07-2018,East,969,0.29,77.52,Tamil Nadu,2018,July,16,396,12-07-2018,8,1017,Store_1017,FrOr23,4
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Ooty,25-09-2016,West,1100,0.11,495,Tamil Nadu,2016,September,25,136,24-09-2016,45,1012,Store_1012,EgEg24,1
OD26,Krithika,Snacks,Chocolates,Tirunelveli,16-01-2017,West,2022,0.11,202.2,Tamil Nadu,2017,January,16,250,11-01-2017,10,1019,Store_1019,SnCh25,5
OD27,Muneer,Snacks,Cookies,Trichy,16-01-2017,West,541,0.12,43.28,Tamil Nadu,2017,January,16,74,13-01-2017,8,1020,Store_1020,SnCo26,3
OD28,Jackson,Bakery,Biscuits,Viluppuram,17-09-2016,East,979,0.22,401.39,Tamil Nadu,2016,September,17,276,16-09-2016,41,1022,Store_1022,BaBi27,1
OD29,Veronica,Beverages,Soft Drinks,Krishnagiri,17-09-2016,East,1988,0.22,874.72,Tamil Nadu,2016,September,17,561,15-09-2016,44,1008,Store_1008,BeSo28,2
OD30,Shah,Oil & Masala,Masalas,Kanyakumari,17-09-2016,East,989,0.17,69.23,Tamil Nadu,2016,September,17,203,15-09-2016,7,1006,Store_1006,OiMa29,2
OD31,Ramesh,Beverages,Soft Drinks,Dharmapuri,17-09-2016,East,1845,0.24,166.05,Tamil Nadu,2016,September,17,583,16-09-2016,9,1004,Store_1004,BeSo30,1
OD32,Mathew,Snacks,Noodles,Vellore,17-09-2016,East,1400,0.11,420,Tamil Nadu,2016,September,17,173,12-09-2016,30,1021,Store_1021,SnNo31,5
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Trichy,17-09-2016,East,2163,0.26,670.53,Tamil Nadu,2016,September,17,760,13-09-2016,31,1020,Store_1020,OiEd32,4
OD34,Anu,Oil & Masala,Masalas,Madurai,17-09-2016,East,1689,0.34,337.8,Tamil Nadu,2016,September,17,870,16-09-2016,20,1009,Store_1009,OiMa33,1
OD35,Anu,Beverages,Health Drinks,Vellore,19-10-2018,Central,809,0.32,80.9,Tamil Nadu,2018,October,19,381,14-10-2018,10,1021,Store_1021,BeHe34,5
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Tirunelveli,08-12-2017,Central,1265,0.22,569.25,Tamil Nadu,2017,December,8,357,07-12-2017,45,1019,Store_1019,EgEg35,1
OD37,James,Beverages,Soft Drinks,Salem,08-12-2017,Central,934,0.35,56.04,Tamil Nadu,2017,December,8,503,06-12-2017,6,1016,Store_1016,BeSo36,2
OD38,Willams,Fruits & Veggies,Organic Vegetables,Ramanadhapuram,27-12-2016,Central,1354,0.16,446.82,Tamil Nadu,2016,December,27,258,23-12-2016,33,1015,Store_1015,FrOr37,4
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Chennai,27-12-2016,Central,1751,0.19,280.16,Tamil Nadu,2016,December,27,411,26-12-2016,16,1001,Store_1001,FrFr38,1
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Cumbum,27-12-2016,Central,2045,0.23,879.35,Tamil Nadu,2016,December,27,611,23-12-2016,43,1003,Store_1003,EgCh39,4
OD41,Malik,Beverages,Health Drinks,Namakkal,27-12-2016,Central,660,0.19,92.4,Tamil Nadu,2016,December,27,155,22-12-2016,14,1011,Store_1011,BeHe40,5
OD42,Arutra,Beverages,Soft Drinks,Salem,10-09-2018,Central,1868,0.18,616.44,Tamil Nadu,2018,September,10,410,05-09-2018,33,1016,Store_1016,BeSo41,5
OD43,Sharon,Snacks,Cookies,Bodi,17-07-2017,West,1017,0.25,345.78,Tamil Nadu,2017,July,17,339,13-07-2017,34,1000,Store_1000,SnCo42,4
OD44,Mathew,Snacks,Cookies,Dharmapuri,19-09-2018,South,2311,0.2,1039.95,Tamil Nadu,2018,September,19,578,16-09-2018,45,1004,Store_1004,SnCo43,3
OD45,Amrish,Bakery,Biscuits,Krishnagiri,11-03-2017,Central,1663,0.17,731.72,Tamil Nadu,2017,March,11,341,08-03-2017,44,1008,Store_1008,BaBi44,3
OD46,Vince,"Eggs, Meat & Fish",Eggs,Madurai,11-03-2017,Central,1420,0.19,355,Tamil Nadu,2017,March,11,333,07-03-2017,25,1009,Store_1009,EgEg45,4
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Nagercoil,20-10-2015,Central,1415,0.31,509.4,Tamil Nadu,2015,October,20,636,17-10-2015,36,1010,Store_1010,FrOr46,3
OD48,Mathew,Snacks,Noodles,Chennai,20-06-2017,East,1488,0.3,610.08,Tamil Nadu,2017,June,20,638,17-06-2017,41,1001,Store_1001,SnNo47,3
OD49,Ridhesh,Snacks,Noodles,Pudukottai,20-06-2017,East,726,0.18,43.56,Tamil Nadu,2017,June,20,159,16-06-2017,6,1014,Store_1014,SnNo48,4
OD50,Amrish,Bakery,Cakes,Ooty,18-04-2016,Central,1259,0.15,415.47,Tamil Nadu,2016,April,18,222,13-04-2016,33,1012,Store_1012,BaCa49,5
OD51,Esther,Beverages,Soft Drinks,Salem,18-04-2016,Central,902,0.29,153.34,Tamil Nadu,2016,April,18,368,16-04-2016,17,1016,Store_1016,BeSo50,2
OD52,Shah,Beverages,Soft Drinks,Salem,18-04-2016,Central,2306,0.3,553.44,Tamil Nadu,2016,April,18,988,17-04-2016,24,1016,Store_1016,BeSo51,1
OD53,Sudha,Bakery,Cakes,Theni,18-04-2016,Central,1417,0.19,99.19,Tamil Nadu,2016,April,18,332,13-04-2016,7,1018,Store_1018,BaCa52,5
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Madurai,11-12-2017,East,627,0.33,181.83,Tamil Nadu,2017,December,11,309,10-12-2017,29,1009,Store_1009,FrFr53,1
OD55,Esther,Fruits & Veggies,Organic Fruits,Nagercoil,11-12-2017,East,760,0.28,60.8,Tamil Nadu,2017,December,11,296,10-12-2017,8,1010,Store_1010,FrOr54,1
OD56,Muneer,Food Grains,Atta & Flour,Salem,17-06-2017,East,2350,0.15,611,Tamil Nadu,2017,June,17,415,15-06-2017,26,1016,Store_1016,FoAt55,2
OD57,Komal,"Eggs, Meat & Fish",Fish,Krishnagiri,17-06-2017,East,1179,0.34,271.17,Tamil Nadu,2017,June,17,607,13-06-2017,23,1008,Store_1008,EgFi56,4
OD58,Veena,Food Grains,Dals & Pulses,Trichy,17-06-2017,East,1624,0.35,194.88,Tamil Nadu,2017,June,17,874,12-06-2017,12,1020,Store_1020,FoDa57,5
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Trichy,17-06-2017,East,1316,0.35,421.12,Tamil Nadu,2017,June,17,709,14-06-2017,32,1020,Store_1020,EgMu58,3
OD60,Shree,Beverages,Health Drinks,Coimbatore,17-06-2017,East,2121,0.12,678.72,Tamil Nadu,2017,June,17,289,15-06-2017,32,1002,Store_1002,BeHe59,2
OD61,Roshan,Oil & Masala,Masalas,Virudhunagar,17-06-2017,East,1428,0.28,271.32,Tamil Nadu,2017,June,17,555,15-06-2017,19,1023,Store_1023,OiMa60,2
OD62,Willams,Snacks,Noodles,Perambalur,17-06-2017,East,706,0.33,289.46,Tamil Nadu,2017,June,17,348,15-06-2017,41,1013,Store_1013,SnNo61,2
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Dharmapuri,24-11-2016,West,921,0.25,184.2,Tamil Nadu,2016,November,24,307,21-11-2016,20,1004,Store_1004,EgFi62,3
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Trichy,24-11-2016,West,1741,0.31,661.58,Tamil Nadu,2016,November,24,782,23-11-2016,38,1020,Store_1020,FrFr63,1
OD65,Willams,"Eggs, Meat & Fish",Eggs,Madurai,24-11-2016,West,607,0.22,200.31,Tamil Nadu,2016,November,24,171,19-11-2016,33,1009,Store_1009,EgEg64,5
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Tirunelveli,24-11-2016,West,1824,0.25,766.08,Tamil Nadu,2016,November,24,608,20-11-2016,42,1019,Store_1019,EgMu65,4
OD67,Vinne,Food Grains,Atta & Flour,Madurai,30-04-2016,Central,1368,0.11,383.04,Tamil Nadu,2016,April,30,169,29-04-2016,28,1009,Store_1009,FoAt66,1
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Pudukottai,05-12-2015,West,1160,0.16,510.4,Tamil Nadu,2015,December,5,221,02-12-2015,44,1014,Store_1014,FrFr67,3
OD69,Ramesh,Food Grains,Atta & Flour,Viluppuram,05-12-2015,West,1294,0.23,77.64,Tamil Nadu,2015,December,5,387,03-12-2015,6,1022,Store_1022,FoAt68,2
OD70,Peer,Oil & Masala,Masalas,Ooty,04-06-2017,South,1232,0.14,554.4,Tamil Nadu,2017,June,4,201,31-05-2017,45,1012,Store_1012,OiMa69,4
OD71,Verma,"Eggs, Meat & Fish",Mutton,Kanyakumari,18-09-2017,East,994,0.31,357.84,Tamil Nadu,2017,September,18,447,16-09-2017,36,1006,Store_1006,EgMu70,2
OD72,Yusuf,Snacks,Noodles,Kanyakumari,14-09-2018,Central,2468,0.18,1011.88,Tamil Nadu,2018,September,14,542,12-09-2018,41,1006,Store_1006,SnNo71,2
OD73,Alan,Snacks,Cookies,Theni,26-04-2016,South,721,0.27,100.94,Tamil Nadu,2016,April,26,267,21-04-2016,14,1018,Store_1018,SnCo72,5
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Vellore,26-04-2016,South,2375,0.21,475,Tamil Nadu,2016,April,26,631,25-04-2016,20,1021,Store_1021,FrOr73,1
OD75,Arvind,Beverages,Soft Drinks,Vellore,26-04-2016,South,1965,0.13,117.9,Tamil Nadu,2016,April,26,294,21-04-2016,6,1021,Store_1021,BeSo74,5
OD76,Veronica,Beverages,Soft Drinks,Bodi,09-12-2018,Central,1489,0.12,193.57,Tamil Nadu,2018,December,9,203,06-12-2018,13,1000,Store_1000,BeSo75,3
OD77,Arvind,Fruits & Veggies,Organic Fruits,Ooty,09-12-2018,Central,1250,0.27,75,Tamil Nadu,2018,December,9,462,08-12-2018,6,1012,Store_1012,FrOr76,1
OD78,Anu,Snacks,Noodles,Coimbatore,09-12-2018,Central,1358,0.31,488.88,Tamil Nadu,2018,December,9,610,04-12-2018,36,1002,Store_1002,SnNo77,5
OD79,Haseena,Snacks,Cookies,Vellore,26-11-2015,Central,719,0.2,64.71,Tamil Nadu,2015,November,26,180,24-11-2015,9,1021,Store_1021,SnCo78,2
OD80,Veena,Fruits & Veggies,Organic Fruits,Chennai,12-06-2017,South,2303,0.26,621.81,Tamil Nadu,2017,June,12,809,07-06-2017,27,1001,Store_1001,FrOr79,5
OD81,Kumar,Beverages,Health Drinks,Kanyakumari,12-06-2017,South,2027,0.34,912.15,Tamil Nadu,2017,June,12,1044,07-06-2017,45,1006,Store_1006,BeHe80,5
OD82,Amy,Food Grains,Atta & Flour,Bodi,12-10-2015,West,1739,0.29,765.16,Tamil Nadu,2015,October,12,710,11-10-2015,44,1000,Store_1000,FoAt81,1
OD83,Komal,Oil & Masala,Spices,Cumbum,12-10-2015,West,990,0.26,227.7,Tamil Nadu,2015,October,12,348,07-10-2015,23,1003,Store_1003,OiSp82,5
OD84,Ravi,Beverages,Soft Drinks,Dharmapuri,03-09-2016,South,2354,0.11,682.66,Tamil Nadu,2016,September,3,291,30-08-2016,29,1004,Store_1004,BeSo83,4
OD85,Amy,Fruits & Veggies,Organic Fruits,Bodi,13-11-2018,Central,1044,0.1,344.52,Tamil Nadu,2018,November,13,116,10-11-2018,33,1000,Store_1000,FrOr84,3
OD86,Willams,Oil & Masala,Spices,Dindigul,28-05-2018,South,2129,0.25,659.99,Tamil Nadu,2018,May,28,710,24-05-2018,31,1005,Store_1005,OiSp85,4
OD87,Sharon,Food Grains,Rice,Theni,26-10-2018,Central,1759,0.1,615.65,Tamil Nadu,2018,October,26,195,23-10-2018,35,1018,Store_1018,FoRi86,3
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Viluppuram,26-10-2018,Central,1663,0.26,665.2,Tamil Nadu,2018,October,26,584,21-10-2018,40,1022,Store_1022,EgEg87,5
OD89,Sheeba,Bakery,Breads & Buns,Perambalur,05-04-2017,Central,2111,0.21,189.99,Tamil Nadu,2017,April,5,561,31-03-2017,9,1013,Store_1013,BaBr88,5
OD90,Krithika,Food Grains,Dals & Pulses,Madurai,17-09-2017,West,1878,0.12,450.72,Tamil Nadu,2017,September,17,256,12-09-2017,24,1009,Store_1009,FoDa89,5
OD91,Willams,"Eggs, Meat & Fish",Chicken,Ooty,17-09-2017,West,769,0.34,46.14,Tamil Nadu,2017,September,17,396,16-09-2017,6,1012,Store_1012,EgCh90,1
OD92,Roshan,Beverages,Health Drinks,Virudhunagar,17-09-2017,West,1241,0.14,409.53,Tamil Nadu,2017,September,17,202,14-09-2017,33,1023,Store_1023,BeHe91,3
OD93,Ravi,Food Grains,Atta & Flour,Madurai,31-01-2016,Central,2128,0.14,383.04,Tamil Nadu,2016,January,31,346,30-01-2016,18,1009,Store_1009,FoAt92,1
OD94,Ram,Fruits & Veggies,Fresh Fruits,Namakkal,31-01-2016,Central,2257,0.33,270.84,Tamil Nadu,2016,January,31,1112,28-01-2016,12,1011,Store_1011,FrFr93,3
OD95,Mathew,Snacks,Chocolates,Bodi,31-01-2016,Central,1285,0.28,218.45,Tamil Nadu,2016,January,31,500,28-01-2016,17,1000,Store_1000,SnCh94,3
OD96,Veena,"Eggs, Meat & Fish",Fish,Virudhunagar,06-11-2018,West,1230,0.13,442.8,Tamil Nadu,2018,November,6,184,05-11-2018,36,1023,Store_1023,EgFi95,1
OD97,Sudha,Food Grains,Atta & Flour,Ooty,09-11-2018,East,1856,0.21,723.84,Tamil Nadu,2018,November,9,493,07-11-2018,39,1012,Store_1012,FoAt96,2
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Trichy,17-06-2018,West,545,0.31,125.35,Tamil Nadu,2018,June,17,245,12-06-2018,23,1020,Store_1020,FrFr97,5
OD99,Vince,Snacks,Chocolates,Dharmapuri,06-09-2017,Central,2301,0.28,391.17,Tamil Nadu,2017,September,6,895,01-09-2017,17,1004,Store_1004,SnCh98,5
OD100,Krithika,Oil & Masala,Spices,Chennai,29-08-2017,Central,1475,0.26,531,Tamil Nadu,2017,August,29,518,26-08-2017,36,1001,Store_1001,OiSp99,3
OD101,Adavan,Bakery,Cakes,Coimbatore,29-08-2017,Central,2118,0.35,910.74,Tamil Nadu,2017,August,29,1140,24-08-2017,43,1002,Store_1002,BaCa0,5
OD102,Roshan,Beverages,Soft Drinks,Coimbatore,29-08-2017,Central,1527,0.17,671.88,Tamil Nadu,2017,August,29,313,27-08-2017,44,1002,Store_1002,BeSo1,2
OD103,Vinne,Snacks,Chocolates,Nagercoil,01-12-2017,Central,567,0.18,175.77,Tamil Nadu,2017,December,1,124,26-11-2017,31,1010,Store_1010,SnCh2,5
OD104,Amy,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,13-11-2016,West,969,0.27,184.11,Tamil Nadu,2016,November,13,358,10-11-2016,19,1015,Store_1015,FrFr3,3
OD105,Suresh,Food Grains,Dals & Pulses,Karur,13-11-2016,West,2300,0.14,1035,Tamil Nadu,2016,November,13,374,12-11-2016,45,1007,Store_1007,FoDa4,1
OD106,Komal,Oil & Masala,Masalas,Kanyakumari,13-11-2016,West,1575,0.33,78.75,Tamil Nadu,2016,November,13,776,09-11-2016,5,1006,Store_1006,OiMa5,4
OD107,Sundar,Beverages,Health Drinks,Cumbum,23-11-2018,South,540,0.12,108,Tamil Nadu,2018,November,23,74,18-11-2018,20,1003,Store_1003,BeHe6,5
OD108,Willams,Snacks,Cookies,Tirunelveli,23-11-2018,South,536,0.34,176.88,Tamil Nadu,2018,November,23,276,20-11-2018,33,1019,Store_1019,SnCo7,3
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Tirunelveli,23-11-2018,South,556,0.21,155.68,Tamil Nadu,2018,November,23,148,19-11-2018,28,1019,Store_1019,EgEg8,4
OD110,Shree,Fruits & Veggies,Fresh Fruits,Coimbatore,15-10-2016,Central,1179,0.16,271.17,Tamil Nadu,2016,October,15,225,14-10-2016,23,1002,Store_1002,FrFr9,1
OD111,Sundar,Food Grains,Dals & Pulses,Namakkal,25-12-2018,East,1487,0.12,505.58,Tamil Nadu,2018,December,25,203,22-12-2018,34,1011,Store_1011,FoDa10,3
OD112,Arvind,Bakery,Breads & Buns,Pudukottai,03-11-2017,Central,2220,0.1,111,Tamil Nadu,2017,November,3,247,01-11-2017,5,1014,Store_1014,BaBr11,2
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Dindigul,03-11-2017,Central,2155,0.3,581.85,Tamil Nadu,2017,November,3,924,01-11-2017,27,1005,Store_1005,OiEd12,2
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Krishnagiri,25-08-2015,East,1154,0.1,69.24,Tamil Nadu,2015,August,25,128,20-08-2015,6,1008,Store_1008,FrFr13,5
OD115,Muneer,Snacks,Noodles,Salem,25-08-2015,East,2420,0.11,242,Tamil Nadu,2015,August,25,299,21-08-2015,10,1016,Store_1016,SnNo14,4
OD116,Rumaiza,Snacks,Chocolates,Karur,25-08-2015,East,1305,0.24,287.1,Tamil Nadu,2015,August,25,412,24-08-2015,22,1007,Store_1007,SnCh15,1
OD117,Hussain,Fruits & Veggies,Organic Fruits,Bodi,25-08-2015,East,927,0.2,157.59,Tamil Nadu,2015,August,25,232,23-08-2015,17,1000,Store_1000,FrOr16,2
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Viluppuram,02-03-2016,West,983,0.11,186.77,Tamil Nadu,2016,March,2,121,26-02-2016,19,1022,Store_1022,FrOr17,5
OD119,Akash,Food Grains,Rice,Chennai,05-04-2016,South,903,0.1,90.3,Tamil Nadu,2016,April,5,100,31-03-2016,10,1001,Store_1001,FoRi18,5
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Cumbum,12-06-2017,East,1235,0.12,74.1,Tamil Nadu,2017,June,12,168,07-06-2017,6,1003,Store_1003,EgCh19,5
OD121,Alan,Fruits & Veggies,Organic Vegetables,Tirunelveli,12-06-2017,East,1243,0.24,174.02,Tamil Nadu,2017,June,12,393,07-06-2017,14,1019,Store_1019,FrOr20,5
OD122,Harish,Bakery,Cakes,Krishnagiri,12-06-2017,East,649,0.34,201.19,Tamil Nadu,2017,June,12,334,08-06-2017,31,1008,Store_1008,BaCa21,4
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Tenkasi,12-06-2017,East,2354,0.11,188.32,Tamil Nadu,2017,June,12,291,07-06-2017,8,1017,Store_1017,EgMu22,5
OD124,Anu,Beverages,Soft Drinks,Cumbum,12-06-2017,East,1443,0.27,187.59,Tamil Nadu,2017,June,12,534,11-06-2017,13,1003,Store_1003,BeSo23,1
OD125,Sudeep,Bakery,Breads & Buns,Madurai,26-12-2015,Central,975,0.26,390,Tamil Nadu,2015,December,26,343,24-12-2015,40,1009,Store_1009,BaBr24,2
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Virudhunagar,20-09-2015,Central,889,0.19,71.12,Tamil Nadu,2015,September,20,209,19-09-2015,8,1023,Store_1023,FrOr25,1
OD127,Shah,"Eggs, Meat & Fish",Mutton,Karur,05-11-2018,West,2352,0.17,870.24,Tamil Nadu,2018,November,5,482,02-11-2018,37,1007,Store_1007,EgMu26,3
OD128,Harish,Oil & Masala,Spices,Tirunelveli,05-11-2018,West,1293,0.23,336.18,Tamil Nadu,2018,November,5,386,01-11-2018,26,1019,Store_1019,OiSp27,4
OD129,Sharon,Food Grains,Rice,Bodi,06-11-2017,West,1458,0.29,597.78,Tamil Nadu,2017,November,6,596,05-11-2017,41,1000,Store_1000,FoRi28,1
OD130,Peer,Food Grains,Atta & Flour,Coimbatore,06-11-2017,West,1801,0.22,126.07,Tamil Nadu,2017,November,6,508,01-11-2017,7,1002,Store_1002,FoAt29,5
OD131,Haseena,Snacks,Chocolates,Tenkasi,02-02-2018,East,1261,0.29,416.13,Tamil Nadu,2018,February,2,515,01-02-2018,33,1017,Store_1017,SnCh30,1
OD132,Sundar,Beverages,Soft Drinks,Nagercoil,02-02-2018,East,2112,0.28,105.6,Tamil Nadu,2018,February,2,821,30-01-2018,5,1010,Store_1010,BeSo31,3
OD133,Ram,"Eggs, Meat & Fish",Fish,Ramanadhapuram,02-02-2018,East,640,0.24,140.8,Tamil Nadu,2018,February,2,202,01-02-2018,22,1015,Store_1015,EgFi32,1
OD134,Shah,Bakery,Cakes,Tenkasi,13-10-2017,West,1658,0.12,315.02,Tamil Nadu,2017,October,13,226,11-10-2017,19,1017,Store_1017,BaCa33,2
OD135,Harish,Beverages,Health Drinks,Ramanadhapuram,13-10-2017,West,2373,0.18,664.44,Tamil Nadu,2017,October,13,521,08-10-2017,28,1015,Store_1015,BeHe34,5
OD136,Veena,Fruits & Veggies,Organic Fruits,Cumbum,13-10-2017,West,1430,0.19,514.8,Tamil Nadu,2017,October,13,335,10-10-2017,36,1003,Store_1003,FrOr35,3
OD137,Sundar,Oil & Masala,Spices,Viluppuram,13-10-2017,West,1873,0.3,674.28,Tamil Nadu,2017,October,13,803,11-10-2017,36,1022,Store_1022,OiSp36,2
OD138,Jackson,"Eggs, Meat & Fish",Eggs,Theni,13-10-2017,West,867,0.14,329.46,Tamil Nadu,2017,October,13,141,08-10-2017,38,1018,Store_1018,EgEg37,5
OD139,Malik,Snacks,Noodles,Theni,13-10-2017,West,1101,0.19,484.44,Tamil Nadu,2017,October,13,258,08-10-2017,44,1018,Store_1018,SnNo38,5
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Ooty,13-10-2017,West,1088,0.28,424.32,Tamil Nadu,2017,October,13,423,09-10-2017,39,1012,Store_1012,EgMu39,4
OD141,Veena,Bakery,Biscuits,Perambalur,05-09-2017,East,866,0.32,381.04,Tamil Nadu,2017,September,5,408,03-09-2017,44,1013,Store_1013,BaBi40,2
OD142,Aditi,Oil & Masala,Masalas,Tirunelveli,18-09-2018,West,2483,0.14,223.47,Tamil Nadu,2018,September,18,404,15-09-2018,9,1019,Store_1019,OiMa41,3
OD143,Surya,Food Grains,Atta & Flour,Kanyakumari,18-09-2018,West,1335,0.11,293.7,Tamil Nadu,2018,September,18,165,14-09-2018,22,1006,Store_1006,FoAt42,4
OD144,Sharon,"Eggs, Meat & Fish",Fish,Tenkasi,18-09-2018,West,765,0.24,252.45,Tamil Nadu,2018,September,18,242,14-09-2018,33,1017,Store_1017,EgFi43,4
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Tenkasi,22-12-2018,Central,2403,0.2,624.78,Tamil Nadu,2018,December,22,601,19-12-2018,26,1017,Store_1017,EgMu44,3
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Coimbatore,07-09-2016,West,1551,0.13,573.87,Tamil Nadu,2016,September,7,232,03-09-2016,37,1002,Store_1002,OiEd45,4
OD147,Ridhesh,Food Grains,Organic Staples,Theni,22-10-2015,East,1564,0.27,187.68,Tamil Nadu,2015,October,22,578,17-10-2015,12,1018,Store_1018,FoOr46,5
